2025-06-05 21:09:58 | INFO     | core.optimized_engine |   Processed 15,800,000 events (1434440 events/s, avg batch: 0.7ms)
2025-06-05 21:09:58 | INFO     | data.streaming_data_handler |   Streamed 15,800,000 snapshots. Current: 2025-05-29 07:06:22.550487
2025-06-05 21:09:58 | INFO     | core.optimized_engine |   Processed 15,900,000 events (1663746 events/s, avg batch: 0.7ms)
2025-06-05 21:09:58 | INFO     | core.optimized_engine |   Processed 16,000,000 events (1387005 events/s, avg batch: 0.6ms)
2025-06-05 21:09:58 | INFO     | data.streaming_data_handler |   Streamed 16,000,000 snapshots. Current: 2025-05-29 07:07:37.731696
2025-06-05 21:09:59 | INFO     | core.optimized_engine |   Processed 16,100,000 events (1727473 events/s, avg batch: 0.7ms)
2025-06-05 21:09:59 | INFO     | core.optimized_engine |   Processed 16,200,000 events (1271001 events/s, avg batch: 0.7ms)
2025-06-05 21:09:59 | INFO     | data.streaming_data_handler |   Streamed 16,200,000 snapshots. Current: 2025-05-29 07:08:58.209446
2025-06-05 21:09:59 | INFO     | core.optimized_engine |   Processed 16,300,000 events (1555174 events/s, avg batch: 0.7ms)
2025-06-05 21:10:00 | INFO     | core.optimized_engine |   Processed 16,400,000 events (1513097 events/s, avg batch: 0.7ms)
2025-06-05 21:10:00 | INFO     | data.streaming_data_handler |   Streamed 16,400,000 snapshots. Current: 2025-05-29 07:10:25.127430
2025-06-05 21:10:00 | INFO     | core.optimized_engine |   Processed 16,500,000 events (1224257 events/s, avg batch: 0.9ms)
2025-06-05 21:10:00 | INFO     | core.optimized_engine |   Processed 16,600,000 events (1069157 events/s, avg batch: 0.9ms)
2025-06-05 21:10:00 | INFO     | data.streaming_data_handler |   Streamed 16,600,000 snapshots. Current: 2025-05-29 07:12:09.162020
2025-06-05 21:10:01 | INFO     | core.optimized_engine |   Processed 16,700,000 events (1215036 events/s, avg batch: 0.8ms)
2025-06-05 21:10:01 | INFO     | core.optimized_engine |   Processed 16,800,000 events (1261066 events/s, avg batch: 0.8ms)
2025-06-05 21:10:01 | INFO     | data.streaming_data_handler |   Streamed 16,800,000 snapshots. Current: 2025-05-29 07:13:43.139147
